Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6504","Fertilizers Manufacturing","2022","2022","kt","1483.95016","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6504","Fertilizers Manufacturing","2023","2023","kt","1483.95016","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7230","Emissions (N2O)","6504","Fertilizers Manufacturing","1990","1990","kt","0.079916","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7230","Emissions (N2O)","6504","Fertilizers Manufacturing","1991","1991","kt","0.105388","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7230","Emissions (N2O)","6504","Fertilizers Manufacturing","1992","1992","kt","0.128667","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7230","Emissions (N2O)","6504","Fertilizers Manufacturing","1993","1993","kt","0.150526","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7230","Emissions (N2O)","6504","Fertilizers Manufacturing","1994","1994","kt","0.177694","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7230","Emissions (N2O)","6504","Fertilizers Manufacturing","1995","1995","kt","0.201625","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7230","Emissions (N2O)","6504","Fertilizers Manufacturing","1996","1996","kt","0.228876","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7230","Emissions (N2O)","6504","Fertilizers Manufacturing","1997","1997","kt","0.257994","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7230","Emissions (N2O)","6504","Fertilizers Manufacturing","1998","1998","kt","0.286269","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7230","Emissions (N2O)","6504","Fertilizers Manufacturing","1999","1999","kt","0.317366","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7230","Emissions (N2O)","6504","Fertilizers Manufacturing","2000","2000","kt","0.34269","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7230","Emissions (N2O)","6504","Fertilizers Manufacturing","2001","2001","kt","0.370839","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7230","Emissions (N2O)","6504","Fertilizers Manufacturing","2002","2002","kt","0.551428","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7230","Emissions (N2O)","6504","Fertilizers Manufacturing","2003","2003","kt","0.582413","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7230","Emissions (N2O)","6504","Fertilizers Manufacturing","2004","2004","kt","0.58187","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7230","Emissions (N2O)","6504","Fertilizers Manufacturing","2005","2005","kt","0.592413","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7230","Emissions (N2O)","6504","Fertilizers Manufacturing","2006","2006","kt","0.513383","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7230","Emissions (N2O)","6504","Fertilizers Manufacturing","2007","2007","kt","0.519906","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7230","Emissions (N2O)","6504","Fertilizers Manufacturing","2008","2008","kt","0.549216","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7230","Emissions (N2O)","6504","Fertilizers Manufacturing","2009","2009","kt","0.600242","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7230","Emissions (N2O)","6504","Fertilizers Manufacturing","2010","2010","kt","0.599788","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7230","Emissions (N2O)","6504","Fertilizers Manufacturing","2011","2011","kt","0.644628","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7230","Emissions (N2O)","6504","Fertilizers Manufacturing","2012","2012","kt","0.66095","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7230","Emissions (N2O)","6504","Fertilizers Manufacturing","2013","2013","kt","0.667691","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7230","Emissions (N2O)","6504","Fertilizers Manufacturing","2014","2014","kt","0.690763","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7230","Emissions (N2O)","6504","Fertilizers Manufacturing","2015","2015","kt","0.681143","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7230","Emissions (N2O)","6504","Fertilizers Manufacturing","2016","2016","kt","0.721227","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7230","Emissions (N2O)","6504","Fertilizers Manufacturing","2017","2017","kt","0.755992","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7230","Emissions (N2O)","6504","Fertilizers Manufacturing","2018","2018","kt","0.766352","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7230","Emissions (N2O)","6504","Fertilizers Manufacturing","2019","2019","kt","0.773479","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7230","Emissions (N2O)","6504","Fertilizers Manufacturing","2020","2020","kt","0.837529","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7230","Emissions (N2O)","6504","Fertilizers Manufacturing","2021","2021","kt","0.862837","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7230","Emissions (N2O)","6504","Fertilizers Manufacturing","2022","2022","kt","0.862837","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7230","Emissions (N2O)","6504","Fertilizers Manufacturing","2023","2023","kt","0.862837","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","1990","1990","kt","170.940093","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","1991","1991","kt","221.061679","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","1992","1992","kt","266.653904","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","1993","1993","kt","309.413314","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","1994","1994","kt","363.101968","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","1995","1995","kt","410.161104","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","1996","1996","kt","463.965455","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","1997","1997","kt","521.517248","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","1998","1998","kt","577.333252","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","1999","1999","kt","638.806839","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","2000","2000","kt","688.644475","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","2001","2001","kt","744.15665","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","2002","2002","kt","1118.684125","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","2003","2003","kt","1199.234379","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","2004","2004","kt","1180.416182","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","2005","2005","kt","1152.45303","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","2006","2006","kt","1025.193771","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","2007","2007","kt","1037.508633","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","2008","2008","kt","1095.320056","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","2009","2009","kt","1196.406908","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","2010","2010","kt","1194.885353","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","2011","2011","kt","1283.606335","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","2012","2012","kt","1315.534927","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","2013","2013","kt","1328.415617","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","2014","2014","kt","1373.807125","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","2015","2015","kt","1354.205069","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","2016","2016","kt","1433.435232","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","2017","2017","kt","1502.077775","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","2018","2018","kt","1522.231225","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","2019","2019","kt","1535.981165","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","2020","2020","kt","1662.75969","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","2021","2021","kt","1712.601965","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","2022","2022","kt","1712.601965","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","2023","2023","kt","1712.601965","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6997","Pesticides Manufacturing","1990","1990","kt","1795.969148","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6997","Pesticides Manufacturing","1991","1991","kt","1740.478197","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6997","Pesticides Manufacturing","1992","1992","kt","1772.228209","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6997","Pesticides Manufacturing","1993","1993","kt","1600.77141","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6997","Pesticides Manufacturing","1994","1994","kt","1664.3988","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6997","Pesticides Manufacturing","1995","1995","kt","1557.759348","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6997","Pesticides Manufacturing","1996","1996","kt","1563.514783","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6997","Pesticides Manufacturing","1997","1997","kt","1586.851576","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6997","Pesticides Manufacturing","1998","1998","kt","1158.352857","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6997","Pesticides Manufacturing","1999","1999","kt","1325.883664","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2000","2000","kt","1393.709934","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2001","2001","kt","1202.244312","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2002","2002","kt","1607.420252","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2003","2003","kt","1042.222916","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2004","2004","kt","1106.233397","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2005","2005","kt","1322.149746","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2006","2006","kt","893.686766","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2007","2007","kt","725.416526","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2008","2008","kt","696.804454","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2009","2009","kt","532.111473","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2010","2010","kt","567.158685","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2011","2011","kt","889.072314","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2012","2012","kt","872.598737","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2013","2013","kt","744.516655","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2014","2014","kt","627.567662","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2015","2015","kt","537.91503","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2016","2016","kt","343.708622","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2017","2017","kt","233.071841","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2018","2018","kt","351.872163","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2019","2019","kt","600.963252","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2020","2020","kt","445.537188","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2021","2021","kt","577.399112","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2022","2022","kt","371.862823","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2023","2023","kt","269.737157","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7225","Emissions (CH4)","6997","Pesticides Manufacturing","1990","1990","kt","0.038765","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7225","Emissions (CH4)","6997","Pesticides Manufacturing","1991","1991","kt","0.03806","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7225","Emissions (CH4)","6997","Pesticides Manufacturing","1992","1992","kt","0.038938","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7225","Emissions (CH4)","6997","Pesticides Manufacturing","1993","1993","kt","0.037565","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7225","Emissions (CH4)","6997","Pesticides Manufacturing","1994","1994","kt","0.040201","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7225","Emissions (CH4)","6997","Pesticides Manufacturing","1995","1995","kt","0.038438","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7225","Emissions (CH4)","6997","Pesticides Manufacturing","1996","1996","kt","0.039018","E","Estimated value"
