area,item,element,year,unit,value
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (N2O),2014,kt,0.690763
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (N2O),2015,kt,0.681143
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (N2O),2016,kt,0.721227
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (N2O),2017,kt,0.755992
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (N2O),2018,kt,0.766352
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (N2O),2019,kt,0.773479
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (N2O),2020,kt,0.837529
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (N2O),2021,kt,0.862837
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (N2O),2022,kt,0.862837
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (N2O),2023,kt,0.862837
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),1990,kt,170.940093
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),1991,kt,221.061679
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),1992,kt,266.653904
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),1993,kt,309.413314
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),1994,kt,363.101968
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),1995,kt,410.161104
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),1996,kt,463.965455
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),1997,kt,521.517248
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),1998,kt,577.333252
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),1999,kt,638.806839
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),2000,kt,688.64447500000006
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),2001,kt,744.15665
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),2002,kt,1118.684125
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),2003,kt,1199.234379
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),2004,kt,1180.416182
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),2005,kt,1152.45303
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),2006,kt,1025.193771
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),2007,kt,1037.508633
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),2008,kt,1095.320056
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),2009,kt,1196.406908
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),2010,kt,1194.885353
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),2011,kt,1283.606335
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),2012,kt,1315.534927
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),2013,kt,1328.415617
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),2014,kt,1373.807125
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),2015,kt,1354.205069
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),2016,kt,1433.435232
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),2017,kt,1502.077775
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),2018,kt,1522.231225
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),2019,kt,1535.981165
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),2020,kt,1662.75969
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),2021,kt,1712.601965
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),2022,kt,1712.601965
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),2023,kt,1712.601965
United Kingdom of Great Britain and Northern Ireland,Pesticides Manufacturing,Emissions (CO2),1990,kt,1795.969148
United Kingdom of Great Britain and Northern Ireland,Pesticides Manufacturing,Emissions (CO2),1991,kt,1740.478197
United Kingdom of Great Britain and Northern Ireland,Pesticides Manufacturing,Emissions (CO2),1992,kt,1772.228209
United Kingdom of Great Britain and Northern Ireland,Pesticides Manufacturing,Emissions (CO2),1993,kt,1600.77141
United Kingdom of Great Britain and Northern Ireland,Pesticides Manufacturing,Emissions (CO2),1994,kt,1664.3988
United Kingdom of Great Britain and Northern Ireland,Pesticides Manufacturing,Emissions (CO2),1995,kt,1557.759348
United Kingdom of Great Britain and Northern Ireland,Pesticides Manufacturing,Emissions (CO2),1996,kt,1563.514783
United Kingdom of Great Britain and Northern Ireland,Pesticides Manufacturing,Emissions (CO2),1997,kt,1586.851576
United Kingdom of Great Britain and Northern Ireland,Pesticides Manufacturing,Emissions (CO2),1998,kt,1158.352857
United Kingdom of Great Britain and Northern Ireland,Pesticides Manufacturing,Emissions (CO2),1999,kt,1325.883664
United Kingdom of Great Britain and Northern Ireland,Pesticides Manufacturing,Emissions (CO2),2000,kt,1393.709934
United Kingdom of Great Britain and Northern Ireland,Pesticides Manufacturing,Emissions (CO2),2001,kt,1202.244312
United Kingdom of Great Britain and Northern Ireland,Pesticides Manufacturing,Emissions (CO2),2002,kt,1607.420252
United Kingdom of Great Britain and Northern Ireland,Pesticides Manufacturing,Emissions (CO2),2003,kt,1042.222916
United Kingdom of Great Britain and Northern Ireland,Pesticides Manufacturing,Emissions (CO2),2004,kt,1106.233397
United Kingdom of Great Britain and Northern Ireland,Pesticides Manufacturing,Emissions (CO2),2005,kt,1322.149746
United Kingdom of Great Britain and Northern Ireland,Pesticides Manufacturing,Emissions (CO2),2006,kt,893.686766
United Kingdom of Great Britain and Northern Ireland,Pesticides Manufacturing,Emissions (CO2),2007,kt,725.416526
