area,item,element,year,unit,value
United Kingdom of Great Britain and Northern Ireland,All Animals,Manure left on pasture (N content),1963,kg,598171193.2814
United Kingdom of Great Britain and Northern Ireland,All Animals,Manure left on pasture that leaches (N content),1963,kg,179451357.9844
United Kingdom of Great Britain and Northern Ireland,All Animals,Manure left on pasture that volatilises (N content),1963,kg,119634238.6563
United Kingdom of Great Britain and Northern Ireland,All Animals,Manure left on pasture (Emissions N2O),1963,kt,16.6539
United Kingdom of Great Britain and Northern Ireland,All Animals,Manure left on pasture (Direct emissions N2O),1963,kt,12.659
United Kingdom of Great Britain and Northern Ireland,All Animals,Indirect emissions (N2O that leaches) (Manure on pasture),1963,kt,2.115
United Kingdom of Great Britain and Northern Ireland,All Animals,Indirect emissions (N2O that volatilises) (Manure on pasture),1963,kt,1.88
United Kingdom of Great Britain and Northern Ireland,All Animals,Manure left on pasture (Indirect emissions N2O),1963,kt,3.9949
United Kingdom of Great Britain and Northern Ireland,All Animals,Manure applied to soils (N content),1963,kg,570051953.4882
United Kingdom of Great Britain and Northern Ireland,All Animals,Manure applied to soils that leaches (N content),1963,kg,171015586.0465
United Kingdom of Great Britain and Northern Ireland,All Animals,Manure applied to soils that volatilises (N content),1963,kg,114010390.6976
United Kingdom of Great Britain and Northern Ireland,All Animals,Emissions (N2O) (Manure applied),1963,kt,12.7651
United Kingdom of Great Britain and Northern Ireland,All Animals,Manure applied to soils (Direct emissions N2O),1963,kt,8.958
United Kingdom of Great Britain and Northern Ireland,All Animals,Indirect emissions (N2O that leaches) (Manure applied),1963,kt,2.0155
United Kingdom of Great Britain and Northern Ireland,All Animals,Indirect emissions (N2O that volatilises) (Manure applied),1963,kt,1.7916
United Kingdom of Great Britain and Northern Ireland,All Animals,Manure applied to soils (Indirect emissions N2O),1963,kt,3.8071
United Kingdom of Great Britain and Northern Ireland,All Animals,Stocks,1964,An,167368941
United Kingdom of Great Britain and Northern Ireland,All Animals,Livestock total (Emissions N2O),1964,kt,37.9658
United Kingdom of Great Britain and Northern Ireland,All Animals,Livestock total (Emissions CH4),1964,kt,1290.9923
United Kingdom of Great Britain and Northern Ireland,All Animals,Enteric fermentation (Emissions CH4),1964,kt,1109.8098
United Kingdom of Great Britain and Northern Ireland,All Animals,"Manure management (manure treated, N content)",1964,kg,764853233.6637
United Kingdom of Great Britain and Northern Ireland,All Animals,Manure management (Emissions CH4),1964,kt,181.1826
United Kingdom of Great Britain and Northern Ireland,All Animals,Manure management (Emissions N2O),1964,kt,8.4449
United Kingdom of Great Britain and Northern Ireland,All Animals,Manure management (Direct emissions N2O),1964,kt,5.5169
United Kingdom of Great Britain and Northern Ireland,All Animals,Manure management (Indirect emissions N2O),1964,kt,2.9281
United Kingdom of Great Britain and Northern Ireland,All Animals,Manure left on pasture (N content),1964,kg,600554686.1344
United Kingdom of Great Britain and Northern Ireland,All Animals,Manure left on pasture that leaches (N content),1964,kg,180166405.8403
United Kingdom of Great Britain and Northern Ireland,All Animals,Manure left on pasture that volatilises (N content),1964,kg,120110937.2269
United Kingdom of Great Britain and Northern Ireland,All Animals,Manure left on pasture (Emissions N2O),1964,kt,16.6802
United Kingdom of Great Britain and Northern Ireland,All Animals,Manure left on pasture (Direct emissions N2O),1964,kt,12.6693
United Kingdom of Great Britain and Northern Ireland,All Animals,Indirect emissions (N2O that leaches) (Manure on pasture),1964,kt,2.1234
United Kingdom of Great Britain and Northern Ireland,All Animals,Indirect emissions (N2O that volatilises) (Manure on pasture),1964,kt,1.8875
United Kingdom of Great Britain and Northern Ireland,All Animals,Manure left on pasture (Indirect emissions N2O),1964,kt,4.0108
United Kingdom of Great Britain and Northern Ireland,All Animals,Manure applied to soils (N content),1964,kg,573429790.4877
United Kingdom of Great Britain and Northern Ireland,All Animals,Manure applied to soils that leaches (N content),1964,kg,172028937.1463
United Kingdom of Great Britain and Northern Ireland,All Animals,Manure applied to soils that volatilises (N content),1964,kg,114685958.0975
United Kingdom of Great Britain and Northern Ireland,All Animals,Emissions (N2O) (Manure applied),1964,kt,12.8407
